DD_MM_YYYY,max_air_temp,min_air_temp
jan,9.1,4.8
mid jan,6.8,1.4
feb,1.3,0.3
mid feb,6.9,1
mar,9.7,8.3
mid mar,13,9.1
apr,9.1,3.9
mid apr,11,4.2
may,12.9,6.5
mid may,15.7,6.9
jun,19.7,10.5
mid jun,20,13.5
jul,18.6,13.3
mid jul,22.9,15.8
aug,19.6,14.6
mid aug,23.5,16.9
sep,16.5,11.3
mid sep,26.6,17.6
oct,17.6,14.6
mid oct,15.9,10.7
nov,13.3,7.4
mid nov,8.9,6.1
dec,4.3,2
mid dec,10.3,6.5
